Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
79: defectors,1,280,544,765,913,1013,1102,1294,1610,2058,2670,3492,4512,5676,6974,8393,9904,11478,13111,14810,16559,18333,20116,21899,23676,25437,27176,28837,29213,29495,29775,30058,30343,30630,30919,31211
80: defectors,1,265,462,575,663,745,829,1041,1375,1855,2502,3366,4424,5622,6953,8404,9944,11544,13200,14919,16684,18471,20264,22055,23838,25606,27350,28986,29331,29612,29892,30175,30459,30746,31034,31325
81: defectors,1,101,203,307,412,518,622,725,827,927,1024,1120,1230,1356,1495,1640,1791,1943,2098,2256,2416,2575,2734,2891,3047,3203,3355,3504,3645,3778,3903,4025,4147,4270,4393,4517
82: defectors,1,100,201,301,402,501,599,695,788,879,970,1072,1195,1332,1477,1625,1777,1931,2086,2244,2405,2565,2724,2883,3040,3197,3351,3502,3645,3780,3907,4028,4150,4272,4395,4519
83: defectors,1,101,203,307,412,518,622,725,827,931,1049,1179,1323,1482,1657,1846,2044,2246,2451,2661,2873,3086,3296,3503,3705,3903,4097,4288,4473,4653,4829,5000,5168,5329,5480,5618
84: defectors,1,100,201,301,402,501,599,695,788,890,1009,1147,1305,1476,1660,1856,2058,2263,2470,2681,2895,3110,3323,3533,3738,3940,4137,4330,4517,4699,4876,5048,5216,5379,5531,5671
85: defectors,1,280,543,760,899,996,1083,1168,1254,1342,1436,1630,1913,2222,2563,2935,3321,3707,4094,4486,4880,5263,5631,5981,6313,6633,6942,7232,7491,7705,7877,8008,8128,8249,8370,8493
86: defectors,1,265,461,572,658,739,820,902,986,1073,1176,1393,1692,2016,2371,2753,3149,3544,3940,4340,4740,5130,5503,5859,6196,6520,6833,7127,7392,7612,7790,7924,8044,8165,8286,8409
87: defectors,1,280,543,760,899,996,1083,1168,1304,1552,1851,2227,2688,3214,3787,4390,5010,5623,6228,6836,7436,8013,8569,9099,9593,10051,10480,10880,11250,11595,11917,12217,12500,12754,12963,13121
88: defectors,1,265,461,572,658,739,820,902,1057,1320,1637,2036,2526,3080,3672,4295,4933,5561,6180,6800,7410,7994,8555,9091,9590,10054,10487,10892,11265,11612,11937,12239,12524,12780,12991,13152
89: defectors,1,101,203,307,412,518,622,725,827,927,1024,1120,1230,1359,1502,1656,1816,1979,2147,2319,2495,2671,2845,3017,3188,3357,3521,3679,3826,3964,4095,4220,4345,4470,4596,4723
90: defectors,1,100,201,301,402,501,599,695,788,879,970,1072,1196,1335,1485,1641,1804,1969,2138,2312,2489,2667,2844,3018,3191,3361,3528,3689,3840,3980,4112,4236,4360,4485,4610,4736
91: defectors,1,101,203,307,412,518,622,725,827,931,1050,1186,1341,1518,1714,1930,2160,2397,2641,2894,3154,3417,3680,3940,4196,4448,4697,4938,5170,5394,5608,5811,6004,6183,6344,6487
92: defectors,1,100,201,301,402,501,599,695,788,890,1011,1156,1326,1514,1719,1943,2177,2417,2663,2919,3181,3448,3715,3981,4243,4501,4754,5001,5237,5463,5680,5886,6081,6262,6425,6568
93: defectors,1,280,543,760,899,996,1083,1168,1254,1342,1436,1631,1918,2237,2591,2982,3391,3803,4219,4644,5072,5490,5892,6273,6631,6973,7301,7603,7865,8076,8245,8374,8495,8616,8738,8862
94: defectors,1,265,461,572,658,739,820,902,986,1073,1176,1395,1698,2031,2399,2801,3219,3640,4064,4497,4932,5356,5763,6150,6513,6860,7193,7500,7769,7988,8162,8294,8415,8536,8658,8781
95: defectors,1,280,543,760,899,996,1083,1168,1304,1555,1863,2255,2744,3307,3928,4591,5282,5974,6665,7367,8068,8752,9415,10048,10640,11194,11714,12196,12637,13042,13409,13744,14046,14297,14489,14634
96: defectors,1,265,461,572,658,739,820,902,1057,1323,1648,2063,2579,3170,3810,4493,5202,5910,6616,7330,8042,8733,9402,10042,10640,11201,11726,12214,12659,13068,13439,13777,14081,14336,14531,14678
97: defectors,1,101,204,309,417,525,632,740,862,1013,1214,1468,1762,2091,2457,2860,3296,3764,4266,4803,5377,5982,6617,7284,7981,8710,9470,10262,11083,11934,12814,13723,14660,15624,16612,17625
98: defectors,1,100,202,304,406,508,610,711,843,1015,1227,1480,1776,2109,2480,2890,3336,3814,4326,4874,5457,6073,6721,7399,8108,8849,9622,10425,11258,12120,13011,13931,14879,15853,16851,17874
99: defectors,1,101,204,309,417,525,632,757,904,1095,1348,1661,2017,2409,2840,3309,3813,4348,4918,5525,6167,6842,7547,8282,9049,9847,10676,11537,12426,13343,14290,15265,16267,17294,18345,19419
100: defectors,1,100,202,304,406,508,612,739,901,1119,1388,1703,2064,2463,2900,3378,3892,4440,5021,5638,6292,6978,7695,8443,9223,10033,10875,11747,12647,13576,14534,15520,16533,17570,18631,19714
101: defectors,1,280,542,756,891,989,1079,1244,1563,2053,2742,3665,4784,6040,7410,8870,10381,11910,13446,14985,16508,17996,19436,20825,22161,23443,24670,25842,26958,28018,29026,29986,30667,31036,31366,31690
102: defectors,1,265,460,571,660,744,829,1010,1355,1880,2603,3561,4718,6009,7412,8901,10438,11988,13541,15092,16624,18118,19564,20958,22298,23583,24813,25987,27104,28165,29174,30130,30779,31142,31468,31790
103: defectors,1,280,542,756,891,989,1188,1532,2082,2860,3851,5048,6412,7877,9420,11016,12628,14226,15800,17347,18853,20302,21685,23003,24256,25446,26575,27644,28654,29576,30069,30407,30729,31048,31370,31694
104: defectors,1,265,460,571,660,744,962,1330,1923,2749,3780,5017,6420,7921,9496,11119,12753,14367,15952,17507,19016,20466,21850,23168,24421,25611,26739,27807,28815,29722,30183,30517,30835,31153,31472,31794
105: defectors,1,101,204,309,417,525,632,740,863,1021,1240,1528,1876,2281,2751,3291,3903,4593,5371,6252,7245,8355,9594,10976,12516,14230,16137,18253,20589,23163,25990,28954,29209,29566,29943,30314
106: defectors,1,100,202,304,406,508,610,711,845,1025,1256,1542,1892,2300,2773,3322,3947,4652,5444,6341,7353,8486,9751,11161,12731,14478,16421,18576,20955,23574,26449,29122,29441,29804,30162,30516
107: defectors,1,101,204,309,417,525,632,758,914,1125,1414,1785,2227,2738,3325,3998,4760,5619,6587,7682,8917,10301,11848,13577,15507,17658,20051,22705,25632,28085,28462,28857,29244,29625,30001,30374
108: defectors,1,100,202,304,406,508,612,741,913,1152,1457,1831,2277,2793,3387,4072,4850,5726,6713,7828,9088,10501,12081,13846,15814,18006,20444,23147,26127,28498,28758,29113,29481,29845,30205,30560
109: defectors,1,280,542,756,891,989,1079,1245,1572,2084,2816,3816,5064,6510,8145,9958,11916,13989,16171,18466,20854,23306,25809,28182,28426,28729,29036,29345,29655,29968,30283,30599,30918,31240,31564,31890
110: defectors,1,265,460,571,660,744,829,1011,1364,1909,2673,3708,4992,6474,8144,9990,11978,14078,16282,18595,20999,23467,25986,28294,28546,28847,29152,29459,29767,30077,30389,30703,31020,31339,31660,31982
111: defectors,1,280,542,756,891,989,1190,1544,2121,2950,4032,5380,6970,8750,10709,12833,15088,17442,19887,22424,25037,27605,27836,28134,28436,28740,29047,29355,29666,29979,30296,30615,30936,31258,31582,31907
112: defectors,1,265,460,571,660,744,964,1341,1959,2834,3955,5343,6974,8794,10790,12948,15233,17612,20077,22631,25258,27737,27957,28252,28552,28855,29160,29466,29775,30086,30401,30717,31035,31354,31675,31996
113: defectors,1,101,203,309,415,521,627,733,837,944,1082,1250,1445,1655,1879,2121,2378,2646,2925,3217,3520,3830,4144,4462,4782,5104,5427,5748,6066,6379,6687,6988,7280,7559,7830,8086
114: defectors,1,100,201,303,404,505,605,703,801,922,1075,1246,1437,1645,1870,2116,2379,2652,2936,3233,3542,3858,4178,4502,4828,5155,5483,5810,6133,6451,6763,7069,7364,7647,7920,8179
115: defectors,1,101,203,309,415,521,627,733,857,995,1165,1379,1629,1899,2190,2500,2826,3163,3513,3877,4253,4637,5026,5418,5814,6212,6612,7012,7408,7800,8188,8570,8942,9303,9651,9983
116: defectors,1,100,201,303,404,505,605,708,832,986,1175,1397,1647,1919,2212,2528,2860,3204,3561,3931,4314,4704,5099,5499,5901,6306,6711,7117,7519,7916,8308,8695,9071,9436,9787,10123
117: defectors,1,280,541,751,879,974,1062,1150,1287,1561,1915,2399,3010,3716,4511,5379,6288,7211,8143,9088,10035,10963,11864,12735,13575,14383,15159,15900,16601,17261,17882,18463,18998,19489,19942,20346
118: defectors,1,265,459,568,655,738,822,907,1064,1358,1731,2237,2870,3601,4419,5310,6239,7178,8124,9081,10038,10976,11887,12766,13614,14430,15213,15961,16667,17332,17958,18543,19082,19575,20031,20437
119: defectors,1,280,541,751,879,974,1068,1288,1617,2076,2677,3450,4362,5357,6419,7532,8664,9787,10900,12006,13094,14148,15161,16134,17065,17957,18811,19625,20397,21127,21818,22471,23084,23654,24180,24664
120: defectors,1,265,459,568,655,738,833,1072,1424,1919,2552,3354,4296,5319,6407,7542,8692,9831,10955,12070,13166,14226,15246,16225,17161,18058,18916,19734,20509,21242,21936,22591,23205,23776,24304,24788
121: defectors,1,101,203,309,415,521,627,733,837,944,1085,1265,1480,1717,1978,2266,2581,2917,3276,3661,4071,4501,4948,5409,5883,6368,6864,7365,7867,8365,8858,9341,9807,10250,10671,11062
122: defectors,1,100,201,303,404,505,605,703,801,923,1079,1262,1472,1706,1968,2263,2584,2926,3292,3685,4104,4544,5000,5471,5955,6451,6956,7467,7978,8485,8987,9478,9951,10399,10824,11219
123: defectors,1,101,203,309,415,521,627,733,858,1004,1189,1430,1721,2044,2402,2796,3224,3683,4173,4699,5261,5852,6471,7115,7782,8471,9179,9903,10636,11374,12112,12848,13570,14270,14939,15571
124: defectors,1,100,201,303,404,505,605,708,834,997,1202,1450,1740,2063,2425,2827,3264,3731,4230,4767,5341,5946,6577,7234,7914,8616,9338,10075,10821,11571,12321,13067,13799,14508,15186,15824
125: defectors,1,280,541,751,879,974,1062,1150,1288,1565,1931,2440,3092,3859,4738,5718,6768,7856,8979,10145,11339,12535,13722,14891,16039,17163,18257,19316,20325,21282,22186,23030,23806,24520,25161,25719
126: defectors,1,265,459,568,655,738,822,907,1065,1362,1747,2278,2950,3741,4644,5646,6716,7821,8959,10137,11343,12552,13751,14932,16092,17226,18331,19399,20418,21383,22294,23145,23927,24645,25290,25852
127: defectors,1,280,541,751,879,974,1068,1290,1628,2109,2747,3582,4589,5716,6952,8284,9679,11106,12560,14048,15555,17057,18541,20002,21434,22835,24202,25532,26815,28046,29221,30322,30896,31228,31541,31849
